"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.000949633488068386,0.000286064370504897,3.31964965225241,0.00109326032654891
"log.age",3.94218069109803e-05,1.77587103759072e-05,2.21985752774384,0.0276912602119692
"log.DIP",-2.05395024012706e-05,1.40021978199769e-05,-1.46687703354447,0.144174056214897
"BorealV",-0.000104166333081148,0.000103092068048917,-1.01042044312973,0.313665430297393
"TemperateV",-6.76693572352362e-05,7.70080310697378e-05,-0.878731169921166,0.380731708859023
"TropicalV",-0.000214956531772876,8.04165612771655e-05,-2.67303809512572,0.00821559220591944
"airTemp",4.16991622889317e-06,3.77317093846072e-06,1.10514903695148,0.270586571696422
"log.precip",-2.64785323391962e-05,3.65456117206552e-05,-0.724533838469881,0.469689336891282
"log.SA",-2.46022751715179e-06,6.5932706635318e-06,-0.373142199479177,0.709486599181468
